MES,GERACAO
2023-05-31,6392399.31538
2023-06-30,7978321.409824
2023-07-31,9124560.422921
2023-08-31,8280598.24106
2023-09-30,8236177.630067
2023-10-31,8727367.249291
2023-11-30,7040566.310035
2023-12-31,7251857.913928
2024-01-31,4647002.519094
2024-02-29,5489452.355979
2024-03-31,4676395.206916
2024-04-30,5212575.870343
2024-05-31,8075965.249192
2024-06-30,8848411.652249
2024-07-31,10124609.112549
2024-08-31,10618579.402233
2024-09-30,10564927.727434
2024-10-31,9686656.246359
2024-11-30,8893724.440466
2024-12-31,8411876.480951
2025-01-31,4984746.814356
2025-02-28,6678162.939005
2025-03-31,7584422.655097
2025-04-30,6567446.183728
2025-05-31,9599895.659086
2025-06-30,9574673.627245
2025-07-31,10172598.172275
2025-08-31,10344095.046733
2025-09-30,10948725.499788
2025-10-31,10413750.391275
2025-11-30,7759718.460166
2025-12-31,7677841.548452
2026-01-31,7608997.474411
2026-02-28,4599696.291944
