din_instante,val_geracao
2020-01-31,2206478.177
2020-02-29,2148461.672
2020-03-31,901551.791
2020-03-31,793488.98
2020-04-30,2382753.631
2020-05-31,3137015.749
2020-06-30,1219497.544
2020-06-30,3010013.493
2020-07-31,5045292.071
2020-08-31,5969421.228
2020-09-30,236733.471
2020-09-30,5384970.439
2020-10-31,4682561.753
2020-11-30,2754903.16
2020-11-30,1496542.266
2020-12-31,4589667.864
2021-01-31,4671260.982
2021-02-28,2940509.331
2021-03-31,2332861.69
2021-03-31,1201925.836
2021-04-30,3899598.033
2021-05-31,4730301.375
2021-06-30,506683.384
2021-06-30,4648885.511
2021-07-31,6582376.621
2021-08-31,3619170.225
2021-08-31,3863485.273
2021-09-30,7074068.189
2021-10-31,6038668.396
2021-10-31,490578.682
2021-11-30,5126154.85
2021-12-31,5249955.0365
2022-01-31,3995453.129
2022-02-28,3940745.596
2022-03-31,4763826.815
2022-04-30,4472758.08
2022-05-31,5330490.9575
2022-06-30,5256394.717
2022-07-31,7515479.779
2022-08-31,8451209.573
2022-09-30,8252195.004
2022-10-31,8683284.519
2022-11-30,5378951.547
2022-12-31,5735068.515
2023-01-31,5805437.984
2023-02-28,6044606.471
2023-03-31,5607017.089
2023-04-30,4391883.233
2023-05-31,6400112.167
2023-06-30,8111865.159
2023-07-31,9267425.084
2023-08-31,8423131.779
2023-09-30,8294953.012
2023-10-31,8876178.888
2023-11-30,7251134.202
2023-12-31,7503569.638
2024-01-31,4805150.39
2024-02-29,5702914.784
2024-03-31,4764178.095
2024-04-30,5298119.047
2024-05-31,8177924.472
2024-06-30,8975121.777
2024-07-31,10369750.003
2024-08-31,10990807.173
2024-09-30,10980217.447
2024-10-31,9897624.282
2024-11-30,9146850.616
2024-12-31,8646013.863
2025-01-31,5211946.17
2025-02-28,6859673.029
2025-03-31,7821186.26
2025-04-30,6897110.697
2025-05-31,9996046.909
2025-06-30,10003293.517
2025-07-31,10643232.358
2025-08-31,10816581.319
2025-09-30,11551485.879
2025-10-31,10908152.585
2025-11-30,8254548.524
2025-12-31,8068281.102
2026-01-31,7976260.072
2026-02-28,4905884.675
2026-03-31,5579111.282
2026-04-30,4921763.836
